id,emplazamiento,tipo_via,cod_portal,cod_via,num_via,referencia_catastral,referencia_municipal,poligono,zona_saturada,comments,actividad,iae,id_iae,id_agrupacion,creation_date,fecha_baja,last_updated,estado,licencias,coordenada_x_utm,coordenada_y_utm
25, NUÑEZ,CALLE,1038,18900,36,6736202,"76721,13660",1,D,Modificado horario según Acuerdo Municipal 23-05-06,BAR CON MUSICA,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:28Z,abierto,2015-10-05T12:54:30Z,1,"LicenciaId [expediente=1063993, anyo=2001],LicenciaId [expediente=417600, anyo=2015],LicenciaId [expediente=3006768, anyo=1989]",676721,4613660
26, NUÑEZ,CALLE,1038,18900,36,6736202,"76721,13660",1,D,sin comentarios,BAR,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:28Z,abierto,2016-09-21T14:45:32Z,2,"LicenciaId [expediente=3030548, anyo=1990],LicenciaId [expediente=94245, anyo=2012],LicenciaId [expediente=3127803, anyo=1989],LicenciaId [expediente=1013801, anyo=2015]",676721,4613660
27, NUÑEZ,CALLE,1037,18900,38,6736203,"76736,13656",1,D,sin comentarios,BAR RESTAURANTE,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:29Z,abierto,2015-12-15T10:48:30Z,1,"LicenciaId [expediente=1373481, anyo=2008],LicenciaId [expediente=3129295, anyo=1995],LicenciaId [expediente=1204913, anyo=2014],LicenciaId [expediente=301380, anyo=1983]",676736,4613656
28, CRUZ,CALLE,1474,29340,7,6637905,"76697,13731",1,D,Tiene local y sótano,BAR CAFETERIA,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:29Z,abierto,2021-07-15T09:07:12Z,1,"LicenciaId [expediente=1201110, anyo=2016],LicenciaId [expediente=692230, anyo=2018],LicenciaId [expediente=335977, anyo=2016],LicenciaId [expediente=916747, anyo=2012],LicenciaId [expediente=499188, anyo=2001],LicenciaId [expediente=3044587, anyo=1994],LicenciaId [expediente=804201, anyo=2018],LicenciaId [expediente=859948, anyo=2012],LicenciaId [expediente=566477, anyo=2020],LicenciaId [expediente=3097890, anyo=1993],LicenciaId [expediente=3099439, anyo=1993],LicenciaId [expediente=562713, anyo=2020]",676697,4613731
29, CRUZ,CALLE,1062,29340,11,6738108,"76702,13757",1,D,Modificado horario según Acuerdo Municipal 23-05-06,BAR CON MUSICA,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:29Z,abierto,2020-12-28T08:30:03Z,1,"LicenciaId [expediente=75090, anyo=2013],LicenciaId [expediente=671459, anyo=2004],LicenciaId [expediente=74433, anyo=2020],LicenciaId [expediente=559570, anyo=2020],LicenciaId [expediente=3145445, anyo=1993],LicenciaId [expediente=29966, anyo=2021],LicenciaId [expediente=3154764, anyo=1999],LicenciaId [expediente=1025304, anyo=2018],LicenciaId [expediente=319337, anyo=2016],LicenciaId [expediente=50252, anyo=2010]",676702,4613757
30, CRUZ,CALLE,1156,29340,13-15,6738107,"76713,13769",1,D,sin comentarios,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:29Z,abierto,2011-11-22T12:21:15Z,1,"LicenciaId [expediente=3162470, anyo=1993],LicenciaId [expediente=855530, anyo=1985]",676713,4613769
31, CONTAMINA,CALLE,918,8220,18,6538803,"76552,13822",1,C,"antes era "" KARMA""",DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:29Z,abierto,2020-12-28T13:42:15Z,1,"LicenciaId [expediente=3154460, anyo=1988],LicenciaId [expediente=1600378, anyo=2019],LicenciaId [expediente=335430, anyo=2005],LicenciaId [expediente=192785, anyo=2016],LicenciaId [expediente=658959, anyo=2001]",676552,4613822
32, LOSCOS,CALLE,1105,17260,4,6639111,"76584,13906",1,C,Modificado horario según Acuerdo Municipal 23-05-06,BAR CAFETERIA,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:29Z,abierto,2015-10-02T13:57:57Z,2,"LicenciaId [expediente=3118538, anyo=1995],LicenciaId [expediente=3169501, anyo=1995],LicenciaId [expediente=202072, anyo=2015],LicenciaId [expediente=965659, anyo=2003]",676584,4613906
33, LUNA,CALLE,907,17480,5,6538303,"76530,13879",1,C,Modificado horario según Acuerdo Municipal 23-05-06,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:29Z,abierto,DESCONOCIDO,1,"LicenciaId [expediente=297932, anyo=1986],LicenciaId [expediente=3193789, anyo=1997],LicenciaId [expediente=402635, anyo=2003]",676530,4613879
34, LUNA,CALLE,927,17480,10,6538914,"76555,13874",1,C,sin comentarios,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:29Z,abierto,2011-11-22T12:22:13Z,1,"LicenciaId [expediente=3001880, anyo=2000],LicenciaId [expediente=3039309, anyo=1995]",676555,4613874
35, MANIFESTACION,CALLE,931,17980,5-7,6539301,"76506,14007",1,C,sin comentarios,CAFETERÍA RESTAURANTE,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:29Z,abierto,2016-05-10T09:23:50Z,1,"LicenciaId [expediente=1726983, anyo=2018],LicenciaId [expediente=3034176, anyo=1990],LicenciaId [expediente=3160075, anyo=1993],LicenciaId [expediente=403290, anyo=2016],LicenciaId [expediente=699980, anyo=2018],LicenciaId [expediente=196340, anyo=2016]",676506,4614007
36, MANIFESTACION,CALLE,19628,17980,13,6639201,"76540,13979",1,C,sin comentarios,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:29Z,abierto,DESCONOCIDO,1,"LicenciaId [expediente=3170371, anyo=1998],LicenciaId [expediente=3187648, anyo=1994]",676540,4613979
