id;title;tipo;plazas;anclajes;lastUpdated;geometry;icon
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/745";"Deutsche bank";"Abierto";"12";"6";2022-02-10T23:06:18Z;"-0.8780011549493381,41.644975794733035";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/551";"CEIP ANTONIO BELTRAN";"Abierto";"14";"7";2022-02-10T23:06:13Z;"-0.9153941958827058,41.645576063068845";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/552";"CEIP ANTONIO BELTRAN";"Abierto";"6";"3";2022-02-10T23:06:13Z;"-0.915272351445784,41.64561078809756";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/363";"Expo Parque del Agua";"Abierto";"15";"15";2022-02-10T23:06:11Z;"-0.9094586397198577,41.670752022854785";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/365";"Expo Torre Del Agua";"Abierto";"12";"3";2022-02-10T23:06:11Z;"-0.9103156081456276,41.67002361972312";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/366";"Expo Parque del Agua";"Abierto";"8";"2";2022-02-10T23:06:11Z;"-0.9099392995856738,41.66842885319353";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/367";"Expo Parque Del Agua";"Abierto";"18";"18";2022-02-10T23:06:11Z;"-0.9099027758939856,41.66819142810149";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/368";"Parque Del Agua";"Abierto";"8";"2";2022-02-10T23:06:11Z;"-0.91038098885133,41.66809412791503";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/370";"Expo Parque Del Agua";"Abierto";"20";"5";2022-02-10T23:06:11Z;"-0.9102801397519313,41.66726692132018";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/922";"Paseo Longares";"Abierto";"6";"3";2022-02-10T23:06:27Z;"-0.8665152871038168,41.66066535032281";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/372";"LLegadas Estacion Intermodal Renfe";"Abierto";"50";"25";2022-02-10T23:06:08Z;"-0.9148892965578033,41.65973120654821";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/453";"Fray Julian Garces con Boente";"Abierto";"12";"6";2022-02-10T23:06:11Z;"-0.8873854856392002,41.62996285004374";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/454";"Fray Julian Garces con Parque";"Abierto";"14";"7";2022-02-10T23:06:12Z;"-0.8877356570298126,41.62893932447448";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/455";"Avda. America 55";"Abierto";"14";"7";2022-02-10T23:06:11Z;"-0.8857112372921352,41.63021267041157";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/456";"Conservarorio Profesional de Musica";"Abierto";"10";"5";2022-02-10T23:06:17Z;"-0.8745198490687823,41.654129301915816";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/457";"Bar Parque";"Abierto";"12";"6";2022-02-10T23:06:11Z;"-0.9094668292823467,41.648050731859165";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/459";"Escuela de Arte";"Abierto";"20";"10";2022-02-10T23:06:12Z;"-0.8839986101766768,41.66242392414085";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/777";"CDM El Cascajo";"Abierto";"10";"5";2022-02-10T23:06:19Z;"-0.8662514622849502,41.693012500251925";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/461";"Conservatorio Superior de Musica";"Abierto";"20";"10";2022-02-10T23:06:11Z;"-0.9119734903983289,41.636210305018395";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
