id;idCapitulo;capitulo;aplicacion;previsionInicial;previsionModificacion;previsionDefinitivo;derechosReconocidos;derechosAnuladosYDevoluciones;derechosCancelados;derechosReconocidosNetos;recaudacionNeta;derechosPendientesCobro;excesoDefectoPrevision;fecha;concepto
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39915";"3";"Tasas, precios públicos y otros gastos";"INGR. POR PAGOS GASTOS DIFUSION Y COMU- NICACION EN CONTRATOS";"0";"0";"0";"10305";"0";"0";"10305";"10305";"0";"10305";"20111231";"39915"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-42009";"4";"Transferencias corrientes";"INE:SUBVENCION PADRON MUNICIPAL HABITANTES";"0";"0";"0";"6114.43";"0";"0";"6114.43";"6114.43";"0";"6114.43";"20111231";"42009"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-42010";"4";"Transferencias corrientes";"FONDO COMPLEMENTARIO DE FINANCIACION";"195305297";"0";"195305297";"194085457.95";"3946401.63";"0";"190139056.32";"190139056.32";"0";"-5166240.68";"20111231";"42010"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-42017";"4";"Transferencias corrientes";"DELEG. GOBINERON:SUBVENCION PAPELETAS";"0";"0";"0";"31248.25";"0";"0";"31248.25";"31248.25";"0";"31248.25";"20111231";"42017"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-10000";"1";"Impuestos Directos";"IMPUESTOS SOBRE LA RENTA DE LAS PERSONAS FISICAS";"16528000";"0";"16528000";"16528127.16";"0";"0";"16528127.16";"16528127.16";"0";"127.16";"20111231";"10000"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-11200";"1";"Impuestos Directos";"IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA RUSTICA (O.F. 2)";"483000";"0";"483000";"472256.43";"3771.69";"0";"468484.74";"445178.28";"23306.46";"-14515.26";"20111231";"11200"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-11300";"1";"Impuestos Directos";"IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA (O.F. 2)";"129500000";"0";"129500000";"132552687.38";"2682721.37";"78157.53";"129791808.48";"117004679.31";"12787129.17";"291808.48";"20111231";"11300"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-11400";"1";"Impuestos Directos";"IMPUESTO SOBRE BIENES INMUEBLES DE CARACTERISTICAS ESPECIALES (O.F. 2)";"316000";"0";"316000";"727158.26";"0";"0";"727158.26";"693341.48";"33816.78";"411158.26";"20111231";"11400"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-11500";"1";"Impuestos Directos";"IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA (O.F. 6)";"32000000";"0";"32000000";"30931719.42";"189451";"338213.35";"30404055.07";"27078143.13";"3325911.94";"-1595944.93";"20111231";"11500"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-11600";"1";"Impuestos Directos";"IMPUESTO SOBRE INCREMENTO DEL VALOR DE LOS TERRENOS DE NATURALEZA URBANA (O.F.9)";"22500000";"0";"22500000";"21822217.47";"244682.21";"0";"21577535.26";"18104289.31";"3473245.95";"-922464.74";"20111231";"11600"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-13000";"1";"Impuestos Directos";"IMPUESTO SOBRE ACTIVIDADES ECONOMICAS (O.F. 3)";"27000000";"0";"27000000";"27837817.14";"2038818.51";"1535.65";"25797462.98";"23540640.76";"2256822.22";"-1202537.02";"20111231";"13000"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-21000";"2";"Impuestos Indirectos";"IMPUESTO SOBRE EL VALOR A¥ADIDO";"8574000";"0";"8574000";"9111190.44";"537263.76";"0";"8573926.68";"8573926.68";"0";"-73.32";"20111231";"21000"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-22000";"2";"Impuestos Indirectos";"IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS";"185000";"0";"185000";"185063.04";"0";"0";"185063.04";"185063.04";"0";"63.04";"20111231";"22000"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-22001";"2";"Impuestos Indirectos";"IMPUESTO SOBRE LA CERVEZA";"54200";"0";"54200";"54268.8";"0";"0";"54268.8";"54268.8";"0";"68.8";"20111231";"22001"
