id,id_capitulo,capitulo,aplicacion,prevision_inicial,unidades_prevision_inicial,prevision_modificacion,unidades_prevision_modificacion,prevision_definitivo,unidades_prevision_definitivo,derechos_reconocidos,unidades_derechos_reconocidos,derechos_anulados_devoluciones,unidades_derechos_anulados_devoluciones,derechos_cancelados,unidades_derechos_cancelados,derechos_reconocidos_netos,unidades_derechos_reconocidos_netos,recaudacion_neta,unidades_recaudacion_neta,derechos_pendientes_cobro,unidades_derechos_pendientes_cobro,exceso_defecto_prevision,unidades_exceso_defecto_prevision,fecha,concepto
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39911,3,"Tasas, precios públicos y otros gastos",APORTACION I.A.S.S. RESERVA Y OCUPACION PLAZAS CASA DE AMPARO,910000,euros,0,euros,910000,euros,643416.66,euros,0,euros,0,euros,643416.66,euros,643416.66,euros,0,euros,-266583.34,euros,2011-12-31,39911
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39913,3,"Tasas, precios públicos y otros gastos",BONIFICACIONES SEGUROS,0,euros,0,euros,0,euros,71.4,euros,0,euros,0,euros,71.4,euros,71.4,euros,0,euros,71.4,euros,2011-12-31,39913
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39914,3,"Tasas, precios públicos y otros gastos",CONVENIO CITYNET.: FIBRA OPTICA,0,euros,0,euros,0,euros,3072.12,euros,0,euros,0,euros,3072.12,euros,0,euros,3072.12,euros,3072.12,euros,2011-12-31,39914
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39915,3,"Tasas, precios públicos y otros gastos",INGR. POR PAGOS GASTOS DIFUSION Y COMU- NICACION EN CONTRATOS,0,euros,0,euros,0,euros,10305,euros,0,euros,0,euros,10305,euros,10305,euros,0,euros,10305,euros,2011-12-31,39915
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-42009,4,Transferencias corrientes,INE:SUBVENCION PADRON MUNICIPAL HABITANTES,0,euros,0,euros,0,euros,6114.43,euros,0,euros,0,euros,6114.43,euros,6114.43,euros,0,euros,6114.43,euros,2011-12-31,42009
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-42010,4,Transferencias corrientes,FONDO COMPLEMENTARIO DE FINANCIACION,195305297,euros,0,euros,195305297,euros,194085457.95,euros,3946401.63,euros,0,euros,190139056.32,euros,190139056.32,euros,0,euros,-5166240.68,euros,2011-12-31,42010
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-42017,4,Transferencias corrientes,DELEG. GOBINERON:SUBVENCION PAPELETAS,0,euros,0,euros,0,euros,31248.25,euros,0,euros,0,euros,31248.25,euros,31248.25,euros,0,euros,31248.25,euros,2011-12-31,42017
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-10000,1,Impuestos Directos,IMPUESTOS SOBRE LA RENTA DE LAS PERSONAS FISICAS,16528000,euros,0,euros,16528000,euros,16528127.16,euros,0,euros,0,euros,16528127.16,euros,16528127.16,euros,0,euros,127.16,euros,2011-12-31,10000
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-11200,1,Impuestos Directos,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA RUSTICA (O.F. 2),483000,euros,0,euros,483000,euros,472256.43,euros,3771.69,euros,0,euros,468484.74,euros,445178.28,euros,23306.46,euros,-14515.26,euros,2011-12-31,11200
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-11300,1,Impuestos Directos,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA (O.F. 2),129500000,euros,0,euros,129500000,euros,132552687.38,euros,2682721.37,euros,78157.53,euros,129791808.48,euros,117004679.31,euros,12787129.17,euros,291808.48,euros,2011-12-31,11300
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-11400,1,Impuestos Directos,IMPUESTO SOBRE BIENES INMUEBLES DE CARACTERISTICAS ESPECIALES (O.F. 2),316000,euros,0,euros,316000,euros,727158.26,euros,0,euros,0,euros,727158.26,euros,693341.48,euros,33816.78,euros,411158.26,euros,2011-12-31,11400
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-11500,1,Impuestos Directos,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA (O.F. 6),32000000,euros,0,euros,32000000,euros,30931719.42,euros,189451,euros,338213.35,euros,30404055.07,euros,27078143.13,euros,3325911.94,euros,-1595944.93,euros,2011-12-31,11500
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-11600,1,Impuestos Directos,IMPUESTO SOBRE INCREMENTO DEL VALOR DE LOS TERRENOS DE NATURALEZA URBANA (O.F.9),22500000,euros,0,euros,22500000,euros,21822217.47,euros,244682.21,euros,0,euros,21577535.26,euros,18104289.31,euros,3473245.95,euros,-922464.74,euros,2011-12-31,11600
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-13000,1,Impuestos Directos,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS (O.F. 3),27000000,euros,0,euros,27000000,euros,27837817.14,euros,2038818.51,euros,1535.65,euros,25797462.98,euros,23540640.76,euros,2256822.22,euros,-1202537.02,euros,2011-12-31,13000
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-21000,2,Impuestos Indirectos,IMPUESTO SOBRE EL VALOR A¥ADIDO,8574000,euros,0,euros,8574000,euros,9111190.44,euros,537263.76,euros,0,euros,8573926.68,euros,8573926.68,euros,0,euros,-73.32,euros,2011-12-31,21000
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-22000,2,Impuestos Indirectos,IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS,185000,euros,0,euros,185000,euros,185063.04,euros,0,euros,0,euros,185063.04,euros,185063.04,euros,0,euros,63.04,euros,2011-12-31,22000
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-22001,2,Impuestos Indirectos,IMPUESTO SOBRE LA CERVEZA,54200,euros,0,euros,54200,euros,54268.8,euros,0,euros,0,euros,54268.8,euros,54268.8,euros,0,euros,68.8,euros,2011-12-31,22001
